time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T090305,158.8,769,155495,159,1071,329496
20170111T090305,158.8,769,155495,159,418,328843
20170111T090305,158.8,769,155495,159.1,769,328425
20170111T090305,158.8,769,156043,159.1,169,326382
20170111T090305,158.9,600,156643,159.1,169,326382
20170111T090305,158.8,769,156043,159.1,169,326382
20170111T090305,158.9,490,156533,159.1,169,326382
20170111T090305,158.9,490,157433,159.2,600,325678
20170111T090305,158.9,490,157433,159.3,932,323635
20170111T090305,158.9,490,159251,159.3,600,323303
20170111T090305,158.9,1090,159545,159.3,600,323303
20170111T090310,158.9,1498,159045,159.3,600,323832
20170111T090310,158.9,1938,159044,159.3,600,323828
20170111T090310,158.9,2428,159534,159.3,600,323828
20170111T090317,158.9,1938,158219,159.3,600,323828
20170111T090320,158.9,1938,158219,159.2,700,324528
20170111T090320,158.9,1938,158219,159.2,1300,325128
20170111T090320,158.9,1338,157619,159.2,1300,325128
20170111T090320,158.9,848,157129,159.2,1300,325128
20170111T090320,158.9,848,157129,159.2,700,324528
20170111T090329,158.9,1448,167848,159.2,700,324539
20170111T090341,158.9,1219,167619,159.2,700,324539
20170111T090341,158.9,1219,167619,159.2,1148,325587
20170111T090341,158.9,1219,167619,159.1,600,326735
20170111T090341,158.9,1219,167619,159.1,1244,327759
20170111T090341,158.9,1219,167619,159.1,644,327159
20170111T090342,158.9,1219,167071,159.1,1644,328159
20170111T090344,158.9,1332,167184,159.1,1644,328237
20170111T090348,158.9,1153,167005,159.1,1644,327237
20170111T090348,158.9,807,166659,159.1,1644,327237
20170111T090348,158.9,713,166565,159.1,1644,327785
20170111T090348,158.9,464,166316,159.1,1644,327785
20170111T090348,158.9,464,166316,159.1,2544,328685
20170111T090349,158.9,964,166816,159.1,2544,328607
20170111T090349,158.9,1029,166881,159.1,2544,328607
20170111T090349,158.9,964,166816,159.1,2544,328607
20170111T090351,158.9,1275,167127,159.1,2544,328685
20170111T090401,158.9,1275,167243,159.1,1644,327785
20170111T090403,158.9,1469,167437,159.1,1644,327785
20170111T090403,158.9,1469,167495,159.1,2544,328685
20170111T090409,158.9,1118,167144,159.1,2544,328085
20170111T090409,158.9,1005,167031,159.1,2544,328085
20170111T090409,158.9,505,166531,159.1,2544,328085
20170111T090409,158.9,194,166220,159.1,2544,328085
20170111T090409,158.9,93,166119,159.1,2544,328085
20170111T090409,158.9,93,166119,159.1,3144,328685
20170111T090409,158.9,93,166119,159.1,3644,329185
20170111T090418,158.9,453,166479,159.1,3644,329185
20170111T090418,158.9,453,166479,159.1,2744,328285
20170111T090418,158.9,453,166479,159.1,1744,327285
20170111T090422,158.9,360,166386,159.1,1744,327285
20170111T090422,158.8,2374,166026,159.1,1744,327285
20170111T090422,158.8,2374,165126,158.9,4143,331428
20170111T090422,158.8,2374,164578,158.9,4821,332980
20170111T090422,158.8,2061,163665,158.9,4821,332746
20170111T090422,158.8,374,161978,158.9,4821,332746
20170111T090422,158.8,174,161778,158.9,4821,332746
20170111T090422,158.8,374,161978,158.9,4821,332746
20170111T090422,158.8,258,161862,158.9,4821,332746
20170111T090422,158.8,200,161804,158.9,4821,332746
20170111T090422,158.7,10086,161054,158.9,4821,332746
20170111T090422,158.8,200,161254,158.9,4821,332746
20170111T090422,158.7,10086,161054,158.9,4821,332746
